time,col1_bool,col2_bool,col3_bool,col4_bool,col5_float,col6_float,col7_float,col8_float,col9_float,col10_float,col11_float,col12_float,col13_float,col14_float,col15_float,col16_float,col17_float,col18_float,col19_float,col20_float,col21_float,col22_float,col23_float,col24_float,col25_float,col26_float,col27_float,col28_float,stableCruise_boolean,stableCruise_boolean,col31_integer,col32_integer,col33_integer,col34_integer,col35_integer,col36_integer
0,0,0,0,0,0,0,0,0,30,30,0,0,1.18,1.18,17,17,11,11,0,0,29.392,29.392,30,30,72,72,202,202,0,0,0,0,0,0,6,6
0,0,0,0,0,-415.642,-415.642,0,0,891.0403,891.0403,0,0,0,0,44.21461,44.21461,140.0599,140.0599,430.078,430.078,143.2926,143.2926,30.56632,30.56632,67.69,67.69,200,200,0,0,0,0,0,0,4,4
0,0,0,0,0,-415.642,-415.642,0,0,891.0403,891.0403,0,0,0,0,44.21461,44.21461,140.0599,140.0599,430.078,430.078,143.2926,143.2926,30.56632,30.56632,67.69,67.69,200,200,0,0,2,2,2,2,4,4
0,0,0,0,0,-371.642,-371.642,782.616,782.616,891.0403,891.0403,0,0,0,0,44.21461,44.21461,140.0599,140.0599,430.078,430.078,143.2926,143.2926,30.56632,30.56632,67.69,67.69,200,200,1,1,4,4,4,4,4,4
0,0,0,0,0,-371.642,-371.642,782.616,782.616,891.0403,891.0403,0,0,0,0,44.21461,44.21461,140.0599,140.0599,430.078,430.078,143.2926,143.2926,30.56632,30.56632,67.69,67.69,200,200,0,0,6,6,6,6,4,4
0,0,0,0,0,-371.642,-371.642,0,0,891.0403,891.0403,0,0,0,0,44.21461,44.21461,140.0599,140.0599,430.078,430.078,143.2926,143.2926,30.56632,30.56632,67.69,67.69,200,200,0,0,8,8,8,8,4,4
0,0,0,0,0,-371.642,-371.642,0,0,891.0403,891.0403,0,0,0,0,44.21461,44.21461,140.0599,140.0599,430.078,430.078,143.2926,143.2926,30.56632,30.56632,67.69,67.69,200,200,0,0,10,10,10,10,4,4
0,0,0,0,0,-371.642,-371.642,0,0,891.0403,891.0403,0,0,0,0,44.21461,44.21461,140.0599,140.0599,430.078,430.078,143.2926,143.2926,30.56632,30.56632,67.69,67.69,200,200,0,0,12,12,12,12,4,4
0,0,0,0,0,-371.642,-371.642,0,0,891.0403,891.0403,0,0,0,0,44.21461,44.21461,140.0599,140.0599,430.078,430.078,143.2926,143.2926,30.56632,30.56632,67.69,67.69,200,200,0,0,14,14,14,14,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
